FileName,ObservedScore_Label,ObservedScore,CalculatedScore,Capacity_mAh,SOC_pct,MaxDisplacement,ForceRate,VoltageAtCollapse,MaxTemperature,TempRateOfRise,VoltageDifference,source,ts_voltage_initial,ts_voltage_final,ts_voltage_drop,ts_voltage_min,ts_voltage_mean,ts_voltage_std,ts_voltage_collapse,ts_temp_max,ts_temp_initial,ts_temp_rise,ts_temp_rate_max,ts_force_max,ts_force_mean,ts_force_final,ts_disp_max,ts_disp_final,ts_test_duration,dataset_type,session,session_type
Sorteria-100SOC-cell2,"No effect, instant local Joule heating, no internal discharge – 1",1,5.0,4960,100.0,20.18978429027986,0.1810715928673744,15.706666666666669,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
Sorteria-Control-100SOC-cell1,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,5190,100.0,31.17243349978093,37.67657947540283,49.30500000000001,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
Sorteria-Control-100SOC-cell2,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,5190,100.0,31.17243349978093,40.34767532348633,49.30500000000001,150.24270629882812,169.88494873046875,4.168,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
LCO-LP-6400mAh-100SOC-cell1,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,6400,100.0,31.17243349978093,53.648813247680664,101.33333333333334,150.24270629882812,225.8897399902344,4.152,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
LCO-LP-6400mAh-100SOC-cell2,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,6400,100.0,31.17243349978093,29.89412565231323,101.33333333333334,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
LCO-LP-6400mAh-80SOC-Cell3,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,6400,80.0,31.17243349978093,29.53522653579712,81.06666666666668,150.24270629882812,124.35884857177734,4.001,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
LCO-LP6400mAh-80SOC-cell4,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,97.48484414685532,6400,80.0,31.17243349978093,28.505743980407715,48.64,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
Soetria-80SOC-cell3,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,4960,80.0,31.17243349978093,29.512832260131837,62.826666666666675,150.24270629882812,124.26455688476562,4.01,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
Sorteria-Control-60SOC-cell1,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,5190,60.0,31.17243349978093,30.713831520080568,49.30500000000001,150.24270629882812,129.32139587402344,3.853,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
Soetria-Control-45SOC-cell1,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",6,60.72620644772813,5190,45.0,31.17243349978093,18.19985628128052,22.18725000000001,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
